=== Lista de Audios do Perfect Dark (Total: 548) ===
Formato para substituir/dublar:
  - Nome do arquivo: audio/<NomeDoArquivo>.mp3 (ex: Arecep01M.mp3)
  - Ou por ID decimal: audio/<ID_DEC>.mp3 (ex: 0625.mp3)
  - Ou por ID hexadecimal: audio/<ID_HEX>.mp3 (ex: 0271.mp3)

ID_DEC: 0714 | ID_HEX: 0x02ca | Nome: Aaf1tr02M    | Arquivo: Aaf1tr02M.mp3    | Tamanho: 6320 bytes
ID_DEC: 0715 | ID_HEX: 0x02cb | Nome: Aaf1tr03M    | Arquivo: Aaf1tr03M.mp3    | Tamanho: 7648 bytes
ID_DEC: 0716 | ID_HEX: 0x02cc | Nome: Aairbgd01M   | Arquivo: Aairbgd01M.mp3   | Tamanho: 2272 bytes
ID_DEC: 0717 | ID_HEX: 0x02cd | Nome: Aairbgd02M   | Arquivo: Aairbgd02M.mp3   | Tamanho: 3200 bytes
ID_DEC: 0718 | ID_HEX: 0x02ce | Nome: Aairbgd03M   | Arquivo: Aairbgd03M.mp3   | Tamanho: 5856 bytes
ID_DEC: 0719 | ID_HEX: 0x02cf | Nome: Aairbgd04M   | Arquivo: Aairbgd04M.mp3   | Tamanho: 6560 bytes
ID_DEC: 0720 | ID_HEX: 0x02d0 | Nome: Aairbgd05M   | Arquivo: Aairbgd05M.mp3   | Tamanho: 4304 bytes
ID_DEC: 0721 | ID_HEX: 0x02d1 | Nome: Aairbgd06M   | Arquivo: Aairbgd06M.mp3   | Tamanho: 3744 bytes
ID_DEC: 0722 | ID_HEX: 0x02d2 | Nome: Aairbgd07M   | Arquivo: Aairbgd07M.mp3   | Tamanho: 3744 bytes
ID_DEC: 0723 | ID_HEX: 0x02d3 | Nome: Aairbgd08M   | Arquivo: Aairbgd08M.mp3   | Tamanho: 4144 bytes
ID_DEC: 0724 | ID_HEX: 0x02d4 | Nome: Aairbgd09M   | Arquivo: Aairbgd09M.mp3   | Tamanho: 2032 bytes
ID_DEC: 0725 | ID_HEX: 0x02d5 | Nome: Aairbgd10M   | Arquivo: Aairbgd10M.mp3   | Tamanho: 3200 bytes
ID_DEC: 0726 | ID_HEX: 0x02d6 | Nome: Aairbgd11M   | Arquivo: Aairbgd11M.mp3   | Tamanho: 4144 bytes
ID_DEC: 0727 | ID_HEX: 0x02d7 | Nome: Aairbgd12M   | Arquivo: Aairbgd12M.mp3   | Tamanho: 4848 bytes
ID_DEC: 0728 | ID_HEX: 0x02d8 | Nome: Aairbgd13M   | Arquivo: Aairbgd13M.mp3   | Tamanho: 5232 bytes
ID_DEC: 0729 | ID_HEX: 0x02d9 | Nome: Aairbgd14M   | Arquivo: Aairbgd14M.mp3   | Tamanho: 6320 bytes
ID_DEC: 0730 | ID_HEX: 0x02da | Nome: Aairbgd15M   | Arquivo: Aairbgd15M.mp3   | Tamanho: 4928 bytes
ID_DEC: 0731 | ID_HEX: 0x02db | Nome: Aairbgd16M   | Arquivo: Aairbgd16M.mp3   | Tamanho: 3904 bytes
ID_DEC: 0732 | ID_HEX: 0x02dc | Nome: Aairstw01M   | Arquivo: Aairstw01M.mp3   | Tamanho: 6176 bytes
ID_DEC: 0733 | ID_HEX: 0x02dd | Nome: Aairstw02M   | Arquivo: Aairstw02M.mp3   | Tamanho: 3200 bytes
ID_DEC: 0734 | ID_HEX: 0x02de | Nome: Aairstw03M   | Arquivo: Aairstw03M.mp3   | Tamanho: 3744 bytes
ID_DEC: 0735 | ID_HEX: 0x02df | Nome: Aassael01M   | Arquivo: Aassael01M.mp3   | Tamanho: 13040 bytes
ID_DEC: 0736 | ID_HEX: 0x02e0 | Nome: Aassael02M   | Arquivo: Aassael02M.mp3   | Tamanho: 10144 bytes
ID_DEC: 0737 | ID_HEX: 0x02e1 | Nome: Aassael03M   | Arquivo: Aassael03M.mp3   | Tamanho: 4448 bytes
ID_DEC: 0738 | ID_HEX: 0x02e2 | Nome: Aassael04M   | Arquivo: Aassael04M.mp3   | Tamanho: 8192 bytes
ID_DEC: 0739 | ID_HEX: 0x02e3 | Nome: Aassael05M   | Arquivo: Aassael05M.mp3   | Tamanho: 10848 bytes
ID_DEC: 0740 | ID_HEX: 0x02e4 | Nome: Aassael06M   | Arquivo: Aassael06M.mp3   | Tamanho: 13264 bytes
ID_DEC: 0741 | ID_HEX: 0x02e5 | Nome: Absewrk01M   | Arquivo: Absewrk01M.mp3   | Tamanho: 9360 bytes
ID_DEC: 0742 | ID_HEX: 0x02e6 | Nome: Absewrk02M   | Arquivo: Absewrk02M.mp3   | Tamanho: 4144 bytes
ID_DEC: 0743 | ID_HEX: 0x02e7 | Nome: Absewrk03M   | Arquivo: Absewrk03M.mp3   | Tamanho: 5776 bytes
ID_DEC: 0744 | ID_HEX: 0x02e8 | Nome: Absewrk04M   | Arquivo: Absewrk04M.mp3   | Tamanho: 5616 bytes
ID_DEC: 0745 | ID_HEX: 0x02e9 | Nome: Absewrk05M   | Arquivo: Absewrk05M.mp3   | Tamanho: 6864 bytes
ID_DEC: 0746 | ID_HEX: 0x02ea | Nome: Acetael01M   | Arquivo: Acetael01M.mp3   | Tamanho: 12880 bytes
ID_DEC: 0747 | ID_HEX: 0x02eb | Nome: Achdroid1M   | Arquivo: Achdroid1M.mp3   | Tamanho: 5392 bytes
ID_DEC: 0748 | ID_HEX: 0x02ec | Nome: Achdroid2M   | Arquivo: Achdroid2M.mp3   | Tamanho: 4928 bytes
ID_DEC: 0749 | ID_HEX: 0x02ed | Nome: Acsec01M     | Arquivo: Acsec01M.mp3     | Tamanho: 5232 bytes
ID_DEC: 0750 | ID_HEX: 0x02ee | Nome: Acsec02M     | Arquivo: Acsec02M.mp3     | Tamanho: 3360 bytes
ID_DEC: 0751 | ID_HEX: 0x02ef | Nome: Acsec03M     | Arquivo: Acsec03M.mp3     | Tamanho: 3520 bytes
ID_DEC: 0752 | ID_HEX: 0x02f0 | Nome: Acstan1M     | Arquivo: Acstan1M.mp3     | Tamanho: 8736 bytes
ID_DEC: 0753 | ID_HEX: 0x02f1 | Nome: Acstan2M     | Arquivo: Acstan2M.mp3     | Tamanho: 9360 bytes
ID_DEC: 0754 | ID_HEX: 0x02f2 | Nome: Adevr01M     | Arquivo: Adevr01M.mp3     | Tamanho: 4848 bytes
ID_DEC: 0755 | ID_HEX: 0x02f3 | Nome: Adevr02M     | Arquivo: Adevr02M.mp3     | Tamanho: 6560 bytes
ID_DEC: 0756 | ID_HEX: 0x02f4 | Nome: Adevr03M     | Arquivo: Adevr03M.mp3     | Tamanho: 5392 bytes
ID_DEC: 0757 | ID_HEX: 0x02f5 | Nome: Adevr04M     | Arquivo: Adevr04M.mp3     | Tamanho: 7488 bytes
ID_DEC: 0758 | ID_HEX: 0x02f6 | Nome: Adevr05M     | Arquivo: Adevr05M.mp3     | Tamanho: 5392 bytes
ID_DEC: 0759 | ID_HEX: 0x02f7 | Nome: Adevr06M     | Arquivo: Adevr06M.mp3     | Tamanho: 7104 bytes
ID_DEC: 0760 | ID_HEX: 0x02f8 | Nome: Adevr07M     | Arquivo: Adevr07M.mp3     | Tamanho: 6560 bytes
ID_DEC: 0761 | ID_HEX: 0x02f9 | Nome: Adevr08M     | Arquivo: Adevr08M.mp3     | Tamanho: 6864 bytes
ID_DEC: 0762 | ID_HEX: 0x02fa | Nome: Adevr09M     | Arquivo: Adevr09M.mp3     | Tamanho: 5856 bytes
ID_DEC: 0763 | ID_HEX: 0x02fb | Nome: Adevr10M     | Arquivo: Adevr10M.mp3     | Tamanho: 4688 bytes
ID_DEC: 0764 | ID_HEX: 0x02fc | Nome: Adevr11M     | Arquivo: Adevr11M.mp3     | Tamanho: 2816 bytes
ID_DEC: 0765 | ID_HEX: 0x02fd | Nome: Adevr12M     | Arquivo: Adevr12M.mp3     | Tamanho: 8736 bytes
ID_DEC: 0766 | ID_HEX: 0x02fe | Nome: Aexec01M     | Arquivo: Aexec01M.mp3     | Tamanho: 4448 bytes
ID_DEC: 0767 | ID_HEX: 0x02ff | Nome: Aexec02M     | Arquivo: Aexec02M.mp3     | Tamanho: 4304 bytes
ID_DEC: 0768 | ID_HEX: 0x0300 | Nome: Aexec04M     | Arquivo: Aexec04M.mp3     | Tamanho: 4688 bytes
ID_DEC: 0769 | ID_HEX: 0x0301 | Nome: Aexec05M     | Arquivo: Aexec05M.mp3     | Tamanho: 3744 bytes
ID_DEC: 0770 | ID_HEX: 0x0302 | Nome: Aexec06M     | Arquivo: Aexec06M.mp3     | Tamanho: 4448 bytes
ID_DEC: 0771 | ID_HEX: 0x0303 | Nome: Aexec07M     | Arquivo: Aexec07M.mp3     | Tamanho: 7488 bytes
